timeStep pedestrianId overlapPedestrianId distance-PID3 overlaps-PID3
88 162 263 0.391733744307933 0.008266255692067015
89 135 299 0.39267810556802246 0.00732189443197756
89 159 183 0.3986227371908217 0.0013772628091783257
89 209 278 0.3916300226515436 0.008369977348456403
89 335 341 0.39754269883586385 0.002457301164136172
90 5 236 0.3908599050094117 0.009140094990588321
90 123 320 0.3992367006475767 7.632993524233078E-4
90 154 222 0.3917191997922497 0.00828080020775035
90 159 183 0.3986227371908217 0.0013772628091783257
91 71 136 0.39015865368158203 0.009841346318417987
91 159 183 0.3986227371908217 0.0013772628091783257
91 300 320 0.3902587217546457 0.009741278245354312
92 146 190 0.3992612112621119 7.387887378881297E-4
92 159 183 0.3986227371908217 0.0013772628091783257
93 18 26 0.39401176679731137 0.005988233202688653
93 20 145 0.3946008270897646 0.005399172910235395
93 72 85 0.39752294288306433 0.002477057116935688
93 159 183 0.3986227371908217 0.0013772628091783257
93 188 254 0.3940985406640595 0.005901459335940495
93 297 301 0.3972555075656069 0.00274449243439312
94 14 99 0.39315535337430574 0.006844646625694284
94 220 274 0.3925625775476549 0.007437422452345133
94 321 338 0.3953054187538063 0.0046945812461937075
95 1 288 0.39228400065808217 0.007715999341917856
95 241 264 0.3913580262119368 0.008641973788063195
95 249 280 0.3996120513550804 3.8794864491964454E-4
96 17 312 0.39756047642678366 0.0024395235732163623
96 71 320 0.3987209773940682 0.0012790226059318233
96 249 280 0.3988324108113488 0.0011675891886512302
96 250 263 0.3989683903790635 0.0010316096209365133
96 258 281 0.39581167146563045 0.0041883285343695675
96 327 329 0.39510185528646646 0.004898144713533559
97 8 154 0.39788714611633214 0.0021128538836678867
97 159 261 0.3933873329026558 0.006612667097344205
97 180 323 0.39764541649656493 0.0023545835034350926
97 208 275 0.3941386406885307 0.005861359311469305
97 252 266 0.39531006448545514 0.004689935514544885
97 321 328 0.39599785676843036 0.004002143231569666
98 8 201 0.39841674690464746 0.0015832530953525659
98 180 323 0.39764541649656493 0.0023545835034350926
99 4 61 0.3927248421071161 0.00727515789288391
99 180 323 0.39764541649656493 0.0023545835034350926
99 258 281 0.39247014057458296 0.0075298594254170625
99 312 320 0.3989847181260422 0.0010152818739578295
99 319 352 0.39155829695389427 0.008441703046105753
99 351 363 0.3948394525929871 0.005160547407012939
100 132 261 0.3924213592354899 0.007578640764510147
100 180 323 0.39764541649656493 0.0023545835034350926
101 64 66 0.38905691994221464 0.010943080057785382
101 180 323 0.39764541649656493 0.0023545835034350926
101 214 277 0.39774898767406575 0.0022510123259342762
101 315 346 0.396838628058601 0.003161371941399038
101 353 354 0.3956778360534257 0.004322163946574309
102 13 72 0.3935809146189373 0.006419085381062728
102 180 323 0.39764541649656493 0.0023545835034350926
102 208 310 0.3918070176330653 0.00819298236693472
102 321 350 0.39684016848119014 0.0031598315188098858
102 322 327 0.3924454499124713 0.0075545500875287
103 18 278 0.3962348139957591 0.003765186004240917
103 172 192 0.3974269994677226 0.0025730005322774363
103 180 323 0.39764541649656493 0.0023545835034350926
103 263 296 0.3968004579915747 0.0031995420084253157
104 172 192 0.3974269994677226 0.0025730005322774363
104 180 323 0.39764541649656493 0.0023545835034350926
104 263 296 0.3968004579915747 0.0031995420084253157
104 287 294 0.3932540945967146 0.0067459054032854016
104 343 349 0.39590056314831085 0.0040994368516891755
105 58 315 0.39861732319173654 0.0013826768082634833
105 172 192 0.3974269994677226 0.0025730005322774363
105 180 323 0.39764541649656493 0.0023545835034350926
105 208 262 0.39976663581806593 2.3336418193409258E-4
105 321 327 0.3982772452333769 0.0017227547666231469
106 172 192 0.3974269994677226 0.0025730005322774363
106 180 323 0.39764541649656493 0.0023545835034350926
106 262 329 0.39895770400001773 0.00104229599998229
106 310 352 0.39685083997763093 0.0031491600223690908
106 331 349 0.39298772484000316 0.007012275159996861
106 342 354 0.3916262165416228 0.008373783458377249
106 345 356 0.39653248861378204 0.0034675113862179807
107 14 105 0.393509311203853 0.006490688796147004
107 60 89 0.3939187725673009 0.006081227432699121
107 172 192 0.3974269994677226 0.0025730005322774363
107 180 323 0.39764541649656493 0.0023545835034350926
107 185 210 0.39048337552103846 0.009516624478961566
107 194 203 0.3999894704769068 1.0529523093216753E-5
107 246 295 0.39952663552928913 4.7336447071089083E-4
107 331 343 0.3914198890181041 0.008580110981895928
108 145 208 0.39220532721147067 0.007794672788529355
108 172 192 0.3974269994677226 0.0025730005322774363
109 172 192 0.3974269994677226 0.0025730005322774363
110 172 192 0.3974269994677226 0.0025730005322774363
110 345 358 0.39467290012591794 0.005327099874082086
111 40 152 0.3922548564489298 0.007745143551070199
111 172 192 0.3974269994677226 0.0025730005322774363
111 355 368 0.390144501539794 0.009855498460206003
112 172 192 0.3974269994677226 0.0025730005322774363
112 307 342 0.3983060183442877 0.0016939816557123288
112 331 343 0.39844950427321374 0.0015504957267862829
113 17 331 0.39719586630535053 0.002804133694649491
113 37 106 0.39112193361850184 0.008878066381498184
113 48 203 0.39823293394821785 0.0017670660517821735
113 172 192 0.3974269994677226 0.0025730005322774363
113 358 363 0.3999539459167343 4.605408326574523E-5
114 37 152 0.3969510903326701 0.003048909667329902
114 171 231 0.39272307478013185 0.007276925219868169
114 199 290 0.39836969962915925 0.001630300370840776
114 353 359 0.3964429822961502 0.0035570177038498074
115 14 104 0.390999342906586 0.009000657093414022
115 18 93 0.3985545636667794 0.00144543633322064
115 54 80 0.3986517632135165 0.0013482367864835476
115 333 367 0.3933597775157628 0.006640222484237235
116 18 93 0.3985545636667794 0.00144543633322064
116 78 135 0.39388261991442136 0.006117380085578661
116 80 152 0.39640158187925495 0.0035984181207450727
116 343 359 0.39427123239856793 0.005728767601432094
116 345 358 0.39099724203666325 0.009002757963336772
118 145 223 0.3947178007961537 0.005282199203846316
118 361 376 0.39324176115402765 0.006758238845972375
119 117 136 0.39779127214678833 0.0022087278532116894
119 219 293 0.3974614927934831 0.002538507206516938
119 356 373 0.3954256655160433 0.004574334483956721
120 38 234 0.3929185151909389 0.007081484809061123
120 50 279 0.39282708343337835 0.007172916566621668
120 54 177 0.39276825495352913 0.007231745046470894
120 188 266 0.39820019591638417 0.0017998040836158524
121 333 358 0.39143992435158775 0.008560075648412269
122 83 224 0.393098355310666 0.006901644689334019
122 210 257 0.39492369581907444 0.005076304180925584
123 60 169 0.39287769112560395 0.007122308874396077
123 107 305 0.3975131090564625 0.0024868909435375453
123 178 358 0.3976056671098436 0.0023943328901564476
124 114 154 0.39083308229789343 0.009166917702106592
124 180 358 0.39599175093963757 0.0040082490603624565
124 238 256 0.3953858649057622 0.0046141350942378034
125 336 345 0.39885287700644423 0.0011471229935557936
125 360 379 0.3918405206814913 0.008159479318508744
126 16 107 0.3926709684008191 0.007329031599180913
126 16 305 0.3988911628562223 0.0011088371437777411
126 133 371 0.39317245094308995 0.006827549056910076
126 181 258 0.3995535448276997 4.464551723002974E-4
127 15 344 0.3951135952158117 0.004886404784188336
127 100 299 0.39402826367137644 0.005971736328623578
127 101 138 0.3911525213661624 0.008847478633837613
127 107 246 0.38985302949991746 0.010146970500082564
127 265 374 0.39358480997476875 0.006415190025231277
128 142 165 0.3906685362237614 0.009331463776238613
128 231 286 0.3889347342825264 0.011065265717473627
129 115 210 0.3941187576310278 0.005881242368972195
129 188 246 0.390675937116862 0.009324062883138029
129 228 274 0.39598497399949856 0.004015026000501465
130 67 215 0.39291686474433185 0.0070831352556681715
130 171 226 0.3918038869182207 0.00819611308177931
130 313 392 0.395190940790928 0.004809059209072042
130 365 386 0.3949668813532957 0.005033118646704304
131 313 392 0.395190940790928 0.004809059209072042
131 323 382 0.39502967258169946 0.0049703274183005575
132 16 174 0.39416534929942265 0.005834650700577371
132 29 100 0.39534327885248854 0.004656721147511478
132 92 305 0.39762525597893056 0.0023747440210694637
132 132 193 0.3992177963601821 7.822036398179022E-4
132 145 289 0.39020770259706455 0.009792297402935468
132 216 271 0.3917284841759598 0.008271515824040232
132 255 263 0.3978026131453872 0.0021973868546128483
133 228 274 0.399184416876189 8.155831238110256E-4
134 231 268 0.3905357020379149 0.009464297962085144
134 271 295 0.3983464021250963 0.0016535978749037117
135 4 353 0.3921642642027098 0.007835735797290244
135 155 279 0.39595279680540135 0.00404720319459867
135 222 240 0.3949361363811997 0.005063863618800346
137 92 161 0.39940349836622463 5.965016337753926E-4
137 332 347 0.3967984339043759 0.0032015660956241088
138 356 372 0.39432748862679434 0.00567251137320568
139 14 74 0.3962028039269559 0.003797196073044129
139 19 330 0.39132812253477745 0.008671877465222577
139 129 181 0.39451602056274193 0.005483979437258091
139 227 266 0.39570412151885964 0.0042958784811403805
