[01/02/2021-15:46:41] #   70 | MSE = 1.37822 | Loss G = 516.9260 | Loss D = 732.2921 | time = 80.00 s 
[01/02/2021-15:48:01] #   71 | MSE = 1.36732 | Loss G = 515.8472 | Loss D = 732.4430 | time = 80.12 s 
[01/02/2021-15:49:20] #   72 | MSE = 1.36261 | Loss G = 515.8477 | Loss D = 732.2627 | time = 78.99 s 
[01/02/2021-15:50:39] #   73 | MSE = 1.36512 | Loss G = 515.3030 | Loss D = 732.9070 | time = 79.59 s 
[01/02/2021-15:51:58] #   74 | MSE = 1.33183 | Loss G = 512.7660 | Loss D = 732.0801 | time = 79.36 s 
[01/02/2021-15:53:19] #   75 | MSE = 1.33969 | Loss G = 512.4459 | Loss D = 732.9984 | time = 80.21 s 
[01/02/2021-15:54:38] #   76 | MSE = 1.34598 | Loss G = 513.9517 | Loss D = 732.7744 | time = 79.56 s 
[01/02/2021-15:55:57] #   77 | MSE = 1.29419 | Loss G = 507.2745 | Loss D = 733.3251 | time = 79.38 s 
[01/02/2021-15:57:17] #   78 | MSE = 1.29856 | Loss G = 508.3818 | Loss D = 732.9412 | time = 79.99 s 
[01/02/2021-15:58:37] #   79 | MSE = 1.30916 | Loss G = 509.6823 | Loss D = 732.6076 | time = 79.34 s 
[01/02/2021-15:59:57] #   80 | MSE = 1.31287 | Loss G = 508.9634 | Loss D = 733.2798 | time = 79.90 s 
[01/02/2021-16:01:16] #   81 | MSE = 1.27874 | Loss G = 504.7056 | Loss D = 733.6825 | time = 79.57 s 
[01/02/2021-16:02:36] #   82 | MSE = 1.28031 | Loss G = 505.4592 | Loss D = 733.3011 | time = 79.62 s 
[01/02/2021-16:03:55] #   83 | MSE = 1.29891 | Loss G = 506.9697 | Loss D = 733.5596 | time = 79.26 s 
[01/02/2021-16:05:15] #   84 | MSE = 1.27327 | Loss G = 502.1469 | Loss D = 734.9238 | time = 79.87 s 
[01/02/2021-16:06:35] #   85 | MSE = 1.26152 | Loss G = 501.1117 | Loss D = 734.4992 | time = 80.05 s 
[01/02/2021-16:07:54] #   86 | MSE = 1.21154 | Loss G = 497.4822 | Loss D = 734.5771 | time = 79.25 s 
[01/02/2021-16:09:13] #   87 | MSE = 1.22649 | Loss G = 498.0480 | Loss D = 734.0402 | time = 79.23 s 
[01/02/2021-16:10:32] #   88 | MSE = 1.25789 | Loss G = 500.7416 | Loss D = 734.3523 | time = 78.77 s 
[01/02/2021-16:11:52] #   89 | MSE = 1.26279 | Loss G = 502.1242 | Loss D = 734.3750 | time = 79.93 s 
[01/02/2021-16:13:11] #   90 | MSE = 1.25631 | Loss G = 501.3887 | Loss D = 733.7191 | time = 79.66 s 
[01/02/2021-16:14:30] #   91 | MSE = 1.24209 | Loss G = 500.3105 | Loss D = 733.8644 | time = 78.93 s 
[01/02/2021-16:15:49] #   92 | MSE = 1.24195 | Loss G = 500.5740 | Loss D = 733.8519 | time = 79.22 s 
[01/02/2021-16:17:09] #   93 | MSE = 1.21319 | Loss G = 496.9343 | Loss D = 734.1550 | time = 79.45 s 
[01/02/2021-16:18:27] #   94 | MSE = 1.21647 | Loss G = 497.1816 | Loss D = 734.1156 | time = 79.03 s 
[01/02/2021-16:19:47] #   95 | MSE = 1.19336 | Loss G = 493.9397 | Loss D = 734.3829 | time = 79.62 s 
[01/02/2021-16:21:07] #   96 | MSE = 1.18038 | Loss G = 494.4544 | Loss D = 734.3460 | time = 79.68 s 
[01/02/2021-16:22:26] #   97 | MSE = 1.19267 | Loss G = 495.1937 | Loss D = 734.5048 | time = 78.97 s 
[01/02/2021-16:23:45] #   98 | MSE = 1.16344 | Loss G = 492.6423 | Loss D = 734.1921 | time = 79.09 s 
[01/02/2021-16:25:04] #   99 | MSE = 1.18606 | Loss G = 494.4847 | Loss D = 734.1941 | time = 79.95 s 
[01/02/2021-16:26:24] #  100 | MSE = 1.17098 | Loss G = 492.9916 | Loss D = 734.3469 | time = 79.09 s 
[01/02/2021-16:26:24] Saving model to  /home/lda/Documents/MLCMS/Ex6/GAN/trained_models/trajectory-gan.pt 
[01/02/2021-16:27:43] #  101 | MSE = 1.19632 | Loss G = 496.2117 | Loss D = 734.0242 | time = 79.61 s 
[01/02/2021-16:29:03] #  102 | MSE = 1.19306 | Loss G = 495.6762 | Loss D = 734.0246 | time = 79.73 s 
[01/02/2021-16:30:22] #  103 | MSE = 1.16734 | Loss G = 492.3016 | Loss D = 734.1127 | time = 79.32 s 
[01/02/2021-16:31:42] #  104 | MSE = 1.17263 | Loss G = 491.9289 | Loss D = 734.2763 | time = 79.95 s 
[01/02/2021-16:33:01] #  105 | MSE = 1.18123 | Loss G = 494.2499 | Loss D = 734.3365 | time = 79.07 s 
[01/02/2021-16:34:21] #  106 | MSE = 1.21344 | Loss G = 498.0602 | Loss D = 733.9111 | time = 79.97 s 
[01/02/2021-16:35:41] #  107 | MSE = 1.23150 | Loss G = 499.0638 | Loss D = 733.9602 | time = 79.93 s 
[01/02/2021-16:37:00] #  108 | MSE = 1.18753 | Loss G = 493.3446 | Loss D = 734.5418 | time = 79.76 s 
[01/02/2021-16:38:20] #  109 | MSE = 1.21211 | Loss G = 496.0671 | Loss D = 734.8622 | time = 79.65 s 
[01/02/2021-16:39:39] #  110 | MSE = 1.19774 | Loss G = 495.4368 | Loss D = 734.2049 | time = 79.34 s 
[01/02/2021-16:40:59] #  111 | MSE = 1.21933 | Loss G = 497.7086 | Loss D = 734.0308 | time = 79.98 s 
[01/02/2021-16:42:18] #  112 | MSE = 1.17433 | Loss G = 493.3369 | Loss D = 734.1539 | time = 79.27 s 
[01/02/2021-16:43:38] #  113 | MSE = 1.17018 | Loss G = 493.8236 | Loss D = 734.2285 | time = 79.21 s 
[01/02/2021-16:44:57] #  114 | MSE = 1.15110 | Loss G = 490.7270 | Loss D = 734.0068 | time = 79.61 s 
[01/02/2021-16:46:17] #  115 | MSE = 1.17688 | Loss G = 494.5195 | Loss D = 733.7488 | time = 79.77 s 
[01/02/2021-16:47:37] #  116 | MSE = 1.13965 | Loss G = 489.8104 | Loss D = 734.2115 | time = 80.00 s 
[01/02/2021-16:48:56] #  117 | MSE = 1.13439 | Loss G = 489.6690 | Loss D = 734.3669 | time = 79.86 s 
[01/02/2021-16:50:15] #  118 | MSE = 1.14711 | Loss G = 489.0428 | Loss D = 735.0788 | time = 78.90 s 
[01/02/2021-16:51:34] #  119 | MSE = 1.14619 | Loss G = 488.9224 | Loss D = 734.7700 | time = 79.08 s 
[01/02/2021-16:52:54] #  120 | MSE = 1.13252 | Loss G = 489.0869 | Loss D = 734.3377 | time = 79.39 s 
[01/02/2021-16:54:13] #  121 | MSE = 1.10139 | Loss G = 484.8162 | Loss D = 734.2355 | time = 79.09 s 
[01/02/2021-16:55:32] #  122 | MSE = 1.10768 | Loss G = 486.5860 | Loss D = 734.2707 | time = 79.16 s 
[01/02/2021-16:56:51] #  123 | MSE = 1.17462 | Loss G = 493.6387 | Loss D = 733.9890 | time = 78.88 s 
[01/02/2021-16:58:10] #  124 | MSE = 1.10233 | Loss G = 486.6384 | Loss D = 734.2688 | time = 79.33 s 
[01/02/2021-16:59:30] #  125 | MSE = 1.11423 | Loss G = 487.6462 | Loss D = 734.3984 | time = 80.57 s 
[01/02/2021-17:00:51] #  126 | MSE = 1.09412 | Loss G = 485.0768 | Loss D = 734.2898 | time = 80.51 s 
[01/02/2021-17:02:10] #  127 | MSE = 1.11029 | Loss G = 485.8082 | Loss D = 734.4242 | time = 79.52 s 
[01/02/2021-17:03:29] #  128 | MSE = 1.09086 | Loss G = 484.3519 | Loss D = 734.7345 | time = 79.13 s 
[01/02/2021-17:04:49] #  129 | MSE = 1.07724 | Loss G = 483.4224 | Loss D = 734.4645 | time = 79.93 s 
[01/02/2021-17:06:08] #  130 | MSE = 1.07768 | Loss G = 481.2005 | Loss D = 734.9128 | time = 79.28 s 
[01/02/2021-17:07:27] #  131 | MSE = 1.05912 | Loss G = 479.4189 | Loss D = 734.8689 | time = 78.93 s 
[01/02/2021-17:08:47] #  132 | MSE = 1.09770 | Loss G = 485.0786 | Loss D = 735.0458 | time = 79.53 s 
[01/02/2021-17:10:06] #  133 | MSE = 1.09960 | Loss G = 483.9157 | Loss D = 735.2245 | time = 79.39 s 
[01/02/2021-17:11:26] #  134 | MSE = 1.11235 | Loss G = 485.3209 | Loss D = 735.1441 | time = 79.81 s 
[01/02/2021-17:12:45] #  135 | MSE = 1.09641 | Loss G = 483.1220 | Loss D = 735.3163 | time = 79.03 s 
[01/02/2021-17:14:05] #  136 | MSE = 1.07364 | Loss G = 480.8095 | Loss D = 735.6585 | time = 80.11 s 
[01/02/2021-17:15:24] #  137 | MSE = 1.08091 | Loss G = 482.1732 | Loss D = 735.1918 | time = 79.47 s 
[01/02/2021-17:16:44] #  138 | MSE = 1.07397 | Loss G = 480.6245 | Loss D = 735.1210 | time = 79.35 s 
[01/02/2021-17:18:03] #  139 | MSE = 1.06506 | Loss G = 480.8539 | Loss D = 735.2581 | time = 79.83 s 
[01/02/2021-17:19:23] #  140 | MSE = 1.05276 | Loss G = 479.3117 | Loss D = 734.9933 | time = 79.44 s 
[01/02/2021-17:20:42] #  141 | MSE = 1.05860 | Loss G = 479.0204 | Loss D = 735.3391 | time = 79.52 s 
[01/02/2021-17:22:01] #  142 | MSE = 1.11388 | Loss G = 485.6264 | Loss D = 735.7729 | time = 78.97 s 
[01/02/2021-17:23:21] #  143 | MSE = 1.03947 | Loss G = 477.7791 | Loss D = 735.2317 | time = 79.90 s 
[01/02/2021-17:24:41] #  144 | MSE = 1.07462 | Loss G = 481.6689 | Loss D = 734.6597 | time = 79.66 s 
[01/02/2021-17:26:00] #  145 | MSE = 1.02027 | Loss G = 476.8876 | Loss D = 734.7897 | time = 79.17 s 
[01/02/2021-17:27:19] #  146 | MSE = 1.06319 | Loss G = 480.8852 | Loss D = 734.8155 | time = 79.30 s 
[01/02/2021-17:28:39] #  147 | MSE = 1.09706 | Loss G = 484.6270 | Loss D = 734.6759 | time = 80.33 s 
[01/02/2021-17:29:58] #  148 | MSE = 1.03289 | Loss G = 478.0298 | Loss D = 735.3147 | time = 78.91 s 
[01/02/2021-17:31:17] #  149 | MSE = 1.04567 | Loss G = 479.9442 | Loss D = 735.0109 | time = 79.44 s 
[01/02/2021-17:32:38] #  150 | MSE = 0.99791 | Loss G = 473.8775 | Loss D = 735.0418 | time = 80.39 s 
[01/02/2021-17:32:38] Saving model to  /home/lda/Documents/MLCMS/Ex6/GAN/trained_models/trajectory-gan.pt 
[01/02/2021-17:33:58] #  151 | MSE = 1.05205 | Loss G = 478.5369 | Loss D = 735.3086 | time = 80.05 s 
[01/02/2021-17:35:17] #  152 | MSE = 0.99758 | Loss G = 473.7294 | Loss D = 735.5534 | time = 79.79 s 
[01/02/2021-17:36:36] #  153 | MSE = 1.06681 | Loss G = 480.3991 | Loss D = 735.3446 | time = 78.98 s 
[01/02/2021-17:37:56] #  154 | MSE = 0.98941 | Loss G = 472.9606 | Loss D = 735.5150 | time = 79.66 s 
[01/02/2021-17:39:15] #  155 | MSE = 0.97858 | Loss G = 471.0536 | Loss D = 735.6237 | time = 79.47 s 
[01/02/2021-17:40:34] #  156 | MSE = 1.02660 | Loss G = 476.7736 | Loss D = 735.1267 | time = 78.74 s 
[01/02/2021-17:41:53] #  157 | MSE = 1.07205 | Loss G = 481.9155 | Loss D = 735.0980 | time = 79.25 s 
[01/02/2021-17:43:13] #  158 | MSE = 1.07424 | Loss G = 481.3868 | Loss D = 735.4913 | time = 79.69 s 
[01/02/2021-17:44:32] #  159 | MSE = 1.03808 | Loss G = 476.4790 | Loss D = 735.4766 | time = 79.44 s 
[01/02/2021-17:45:51] #  160 | MSE = 1.06777 | Loss G = 479.7097 | Loss D = 735.1392 | time = 79.30 s 
[01/02/2021-17:47:11] #  161 | MSE = 1.02367 | Loss G = 477.3270 | Loss D = 735.0077 | time = 79.67 s 
[01/02/2021-17:48:31] #  162 | MSE = 1.02986 | Loss G = 476.0892 | Loss D = 735.0055 | time = 79.92 s 
[01/02/2021-17:49:50] #  163 | MSE = 1.00276 | Loss G = 474.1810 | Loss D = 735.0159 | time = 79.46 s 
[01/02/2021-17:51:10] #  164 | MSE = 1.05524 | Loss G = 480.7899 | Loss D = 734.8469 | time = 79.43 s 
[01/02/2021-17:52:29] #  165 | MSE = 1.03091 | Loss G = 478.6994 | Loss D = 734.7730 | time = 79.51 s 
[01/02/2021-17:53:49] #  166 | MSE = 1.02768 | Loss G = 477.6166 | Loss D = 734.8498 | time = 79.92 s 
[01/02/2021-17:55:08] #  167 | MSE = 1.04637 | Loss G = 479.1418 | Loss D = 734.7693 | time = 79.00 s 
[01/02/2021-17:56:28] #  168 | MSE = 1.05884 | Loss G = 481.1473 | Loss D = 734.7251 | time = 79.64 s 
[01/02/2021-17:57:47] #  169 | MSE = 0.98011 | Loss G = 472.5653 | Loss D = 734.6921 | time = 79.38 s 
[01/02/2021-17:59:06] #  170 | MSE = 1.02196 | Loss G = 477.3829 | Loss D = 734.8238 | time = 79.66 s 
[01/02/2021-18:00:26] #  171 | MSE = 0.98138 | Loss G = 473.8157 | Loss D = 734.6005 | time = 80.01 s 
[01/02/2021-18:01:46] #  172 | MSE = 1.02415 | Loss G = 477.2214 | Loss D = 734.9877 | time = 79.72 s 
[01/02/2021-18:03:05] #  173 | MSE = 1.01506 | Loss G = 475.0846 | Loss D = 735.6629 | time = 79.18 s 
[01/02/2021-18:04:25] #  174 | MSE = 0.97481 | Loss G = 471.0949 | Loss D = 735.6141 | time = 79.44 s 
[01/02/2021-18:05:44] #  175 | MSE = 1.04824 | Loss G = 478.9102 | Loss D = 734.6665 | time = 79.52 s 
[01/02/2021-18:07:02] #  176 | MSE = 0.95764 | Loss G = 470.8811 | Loss D = 734.9608 | time = 78.41 s 
[01/02/2021-18:08:22] #  177 | MSE = 0.99116 | Loss G = 473.8795 | Loss D = 734.9294 | time = 79.29 s 
[01/02/2021-18:09:41] #  178 | MSE = 0.97758 | Loss G = 472.4173 | Loss D = 734.6516 | time = 79.47 s 
[01/02/2021-18:11:01] #  179 | MSE = 1.02112 | Loss G = 477.8762 | Loss D = 734.6289 | time = 79.60 s 
[01/02/2021-18:12:20] #  180 | MSE = 1.02480 | Loss G = 477.6499 | Loss D = 734.2494 | time = 79.81 s 
[01/02/2021-18:13:40] #  181 | MSE = 1.02631 | Loss G = 477.8409 | Loss D = 734.2986 | time = 80.08 s 
[01/02/2021-18:14:59] #  182 | MSE = 1.06692 | Loss G = 482.7360 | Loss D = 734.3232 | time = 79.07 s 
[01/02/2021-18:16:19] #  183 | MSE = 1.01257 | Loss G = 478.0893 | Loss D = 734.1459 | time = 79.31 s 
[01/02/2021-18:17:38] #  184 | MSE = 1.05069 | Loss G = 481.6172 | Loss D = 734.3555 | time = 79.20 s 
[01/02/2021-18:18:57] #  185 | MSE = 1.05177 | Loss G = 481.3787 | Loss D = 734.2777 | time = 79.48 s 
[01/02/2021-18:20:16] #  186 | MSE = 0.99225 | Loss G = 475.7718 | Loss D = 734.3365 | time = 79.28 s 
[01/02/2021-18:21:35] #  187 | MSE = 1.00026 | Loss G = 476.4096 | Loss D = 734.2456 | time = 78.61 s 
[01/02/2021-18:22:54] #  188 | MSE = 0.99577 | Loss G = 476.7142 | Loss D = 734.3994 | time = 79.56 s 
[01/02/2021-18:24:14] #  189 | MSE = 1.00223 | Loss G = 476.4742 | Loss D = 734.2298 | time = 79.35 s 
[01/02/2021-18:25:33] #  190 | MSE = 0.98074 | Loss G = 474.7468 | Loss D = 734.4583 | time = 79.23 s 
[01/02/2021-18:26:52] #  191 | MSE = 1.03374 | Loss G = 480.3061 | Loss D = 734.2304 | time = 79.55 s 
[01/02/2021-18:28:12] #  192 | MSE = 1.04279 | Loss G = 479.7594 | Loss D = 734.6423 | time = 79.93 s 
[01/02/2021-18:29:32] #  193 | MSE = 1.00418 | Loss G = 476.2772 | Loss D = 734.3241 | time = 80.06 s 
[01/02/2021-18:30:52] #  194 | MSE = 1.07675 | Loss G = 484.1149 | Loss D = 734.3354 | time = 79.65 s 
[01/02/2021-18:32:12] #  195 | MSE = 1.01181 | Loss G = 478.1086 | Loss D = 734.5917 | time = 80.09 s 
[01/02/2021-18:33:32] #  196 | MSE = 1.00827 | Loss G = 477.4211 | Loss D = 734.6103 | time = 79.92 s 
[01/02/2021-18:34:51] #  197 | MSE = 0.97780 | Loss G = 474.2668 | Loss D = 734.5894 | time = 79.20 s 
[01/02/2021-18:36:10] #  198 | MSE = 0.93628 | Loss G = 469.2402 | Loss D = 734.5571 | time = 79.40 s 
[01/02/2021-18:37:30] #  199 | MSE = 0.95640 | Loss G = 471.9731 | Loss D = 734.5373 | time = 79.92 s 
[01/02/2021-18:38:49] #  200 | MSE = 0.94561 | Loss G = 470.6551 | Loss D = 734.4736 | time = 79.09 s 
[01/02/2021-18:38:49] Saving model to  /home/lda/Documents/MLCMS/Ex6/GAN/trained_models/trajectory-gan.pt 
[01/02/2021-18:40:09] #  201 | MSE = 0.97376 | Loss G = 473.3570 | Loss D = 734.3749 | time = 80.21 s 
